      1 Anseranatidae (Magpie Goose)
      1 Balaenicipitidae (Shoebill)
      1 Donacobiidae (Donacobius)
      1 Dromadidae (Crab Plover)
      1 Dulidae (Palmchat)
      1 Elachuridae (Spotted Elachura)
      1 Eulacestomatidae (Ploughbill)
      1 Eupetidae (Rail-babbler)
      1 Eurypygidae (Sunbittern)
      1 Hylocitreidae (Hylocitrea)
      1 Hypocoliidae (Hypocolius)
      1 Ibidorhynchidae (Ibisbill)
      1 Ifritidae (Ifrita)
      1 Leptosomidae (Cuckoo-Roller)
      1 Notiomystidae (Stitchbird)
      1 Opisthocomidae (Hoatzin)
      1 Oxyruncidae (Sharpbill)
      1 Panuridae (Bearded Reedling)
      1 Pedionomidae (Plains-wanderer)
      1 Peucedramidae (Olive Warbler)
      1 Pityriaseidae (Bristlehead)
      1 Pluvianellidae (Magellanic Plover)
      1 Pluvianidae (Egyptian Plover)
      1 Rhagologidae (Mottled Berryhunter)
      1 Rhynochetidae (Kagu)
      1 Sagittariidae (Secretary-bird)
      1 Sapayoidae (Sapayoa)
      1 Scopidae (Hamerkop)
      1 Steatornithidae (Oilbird)
      1 Tichodromidae (Wallcreeper)
      1 Urocynchramidae (Przevalski's Pinktail)
      2 Atrichornithidae (Scrub-birds)
      2 Bucorvidae (Ground-Hornbills)
      2 Cariamidae (Seriemas)
      2 Chaetopidae (Rockjumpers)
      2 Chionidae (Sheathbills)
      2 Corcoracidae (White-winged Chough and Apostlebird)
      2 Irenidae (Fairy-bluebirds)
      2 Machaerirhynchidae (Boatbills)
      2 Melampittidae (Melampittas)
      2 Menuridae (Lyrebirds)
      2 Paramythiidae (Tit Berrypecker and Crested Berrypecker)
      2 Picathartidae (Rockfowl)
      2 Semnornithidae (Toucan-Barbets)
      3 Anhimidae (Screamers)
      3 Aramidae (Limpkin)
      3 Buphagidae (Oxpeckers)
      3 Cnemophilidae (Satinbirds)
      3 Dasyornithidae (Bristlebirds)
      3 Heliornithidae (Finfoots)
      3 Mesitornithidae (Mesites)
      3 Mohouidae (Whiteheads)
      3 Oreoicidae (Australo-Papuan Bellbirds)
      3 Orthonychidae (Logrunners)
      3 Rostratulidae (Painted-Snipes)
      3 Struthionidae (Ostriches)
      4 Acanthisittidae (New Zealand Wrens)
      4 Anhingidae (Anhingas)
      4 Bombycillidae (Waxwings)
      4 Casuariidae (Cassowaries and Emu)
      4 Falcunculidae (Shrike-tit)
      4 Hyliotidae (Hyliotas)
      4 Melanopareiidae (Crescentchests)
      4 Nicatoridae (Nicators)
      4 Ptiliogonatidae (Silky-flycatchers)
      4 Rheidae (Rheas)
      4 Strigopidae (New Zealand Parrots)
      4 Thinocoridae (Seedsnipes)
      5 
      5 Aegithinidae (Ioras)
      5 Brachypteraciidae (Ground-Rollers)
      5 Callaeidae (Wattlebirds)
      5 Hemiprocnidae (Treeswifts)
      5 Mohoidae (Hawaiian Honeyeaters)
      5 Pandionidae (Osprey)
      5 Philepittidae (Asities)
      5 Pomatostomidae (Pseudo-Babblers)
      5 Promeropidae (Sugarbirds)
      5 Psophodidae (Whipbirds and Wedgebills)
      5 Upupidae (Hoopoes)
      6 Fregatidae (Frigatebirds)
      6 Todidae (Todies)
      7 Apterygidae (Kiwis)
      7 Coliidae (Mousebirds)
      7 Pnoepygidae (Cupwings)
      8 Gaviidae (Loons)
      8 Neosittidae (Sittellas)
      8 Phoenicopteridae (Flamingos)
      9 Calcariidae (Longspurs and Snow Buntings)
      9 Climacteridae (Australasian Treecreepers)
     10 Calyptomenidae (African and Green Broadbills)
     10 Cinclidae (Dippers)
     10 Nyctibiidae (Potoos)
     11 Bernieridae (Malagasy Warblers)
     11 Burhinidae (Thick-knees)
     11 Eurylaimidae (Asian and Grauer's Broadbills)
     11 Phaethontidae (Tropicbirds)
     11 Psophiidae (Trumpeters)
     11 Stenostiridae (Fairy Flycatchers)
     12 Cathartidae (New World Vultures)
     12 Melanocharitidae (Berrypeckers and Longbills)
     12 Pardalotidae (Pardalotes)
     13 Chloropseidae (Leafbirds)
     13 Conopophagidae (Gnateaters)
     13 Jacanidae (Jacanas)
     13 Pelecanidae (Pelicans)
     13 Phoeniculidae (Woodhoopoes and Scimitar-bills)
     13 Regulidae (Kinglets)
     14 Aegothelidae (Owlet-nightjars)
     14 Artamidae (Woodswallows)
     14 Cinclosomatidae (Quail-thrushes and Jewel-babblers)
     14 Prunellidae (Accentors)
     15 Numididae (Guineafowl)
     15 Sarothruridae (Flufftails)
     16 Haematopodidae (Oystercatchers)
     16 Remizidae (Penduline-Tits)
     16 Stercorariidae (Skuas and Jaegers)
     17 Formicariidae (Antthrushes)
     18 Capitonidae (New World Barbets)
     18 Coraciidae (Rollers)
     19 Certhiidae (Treecreepers)
     19 Recurvirostridae (Stilts and Avocets)
     19 Turnicidae (Buttonquail)
     20 Indicatoridae (Honeyguides)
     21 Momotidae (Motmots)
     21 Spheniscidae (Penguins)
     21 Sulidae (Boobies and Gannets)
     23 Aegithalidae (Long-tailed Tits)
     23 Galbulidae (Jacamars)
     23 Glareolidae (Pratincoles and Coursers)
     23 Gruidae (Cranes)
     23 Megapodiidae (Megapodes)
     23 Podargidae (Frogmouths)
     23 Viduidae (Indigobirds)
     24 Pteroclidae (Sandgrouse)
     25 Ciconiidae (Storks)
